,name,latitude,longitude,distance,climb,descent,hours,minutes,seconds,difficulty
344,Red Horse (North) #523,33.79106,-85.58313,2.100000672,216,327,0,20,21,2
345,Red Horse (South) #523,33.78837,-85.60338,1.1000003520000001,244,99,0,23,35,2
346,Red Rock,30.69397,-88.20031,2.100000672,292,273,0,9,34,2
347,Redbull,31.33361,-85.72711,1.200000384,75,40,0,13,39,2
348,Redding Trail,33.44846,-86.87169,1.200000384,114,222,0,4,28,1
349,Redstone Arsenal Greenway,34.65061,-86.65453,7.000002240000001,201,157,0,33,1,1
350,Reflection,33.18737,-87.01904,1.4000004480000001,191,262,0,13,39,2
351,Retreat,33.69958,-85.79625,1.200000384,221,397,0,6,5,1
352,Reveille,33.70808,-85.79678,0.986553346,343,179,0,8,26,1
353,Ridge Creek Connector #5,33.3305,-86.86795,0.27651524,32,29,0,3,49,2
354,Ridge Loop 63A,33.19529,-86.1922,0.9829548600000001,122,123,0,7,13,2
355,Ridge Trail,33.3099,-87.67142,3.300001056,457,446,0,28,48,1
356,Rock Bottom,32.55377,-85.46857,3.100000992,182,202,0,31,29,2
357,Rock Garden Trail,34.70849,-86.42756,1.600000512,107,350,0,15,29,3
358,Rock Slot,33.6228,-85.88574,0.642424448,237,58,0,11,28,2
359,Rock Wall,34.81456,-86.59488,0.7418562980000001,102,6,0,9,59,2
360,Rock-n-Roll,34.70608,-86.43145,0.487121368,7,169,0,5,1,4
361,Rocky,33.64495,-85.85105,0.46969712,53,46,0,4,23,1
362,Rocky Nightmare,34.73032,-86.50762,0.7573866060000001,18,54,0,9,22,3
363,Roller Coaster,32.41583,-86.22697,0.172159146,6,6,0,0,51,2
364,Rollercoaster #3,34.81136,-87.69575,0.31325767600000004,80,81,0,2,47,3
365,Rooster Ridge,34.03723,-86.03711,0.901704834,208,243,0,10,4,1
366,Rust Bucket,33.19731,-87.00858,1.900000608,211,363,0,14,11,2
367,S.A.M.'s Creekside Trail,31.21356,-85.44105,0.854356334,22,25,0,5,11,1
368,Sammy Hardin Loop,34.82212,-87.31565,0.7729169140000001,12,18,0,5,1,1
369,Saturn,34.67067,-86.64879,1.200000384,35,41,0,10,54,2
370,School's Out,31.33979,-85.71566,0.6844699160000001,22,79,0,3,52,2
371,Seven Bridges,33.32887,-86.75133,1.50000048,101,110,0,14,18,2
372,Shakedown Street,32.62771,-86.24554,1.50000048,137,137,0,8,14,1
373,Shay's Run,30.73289,-87.91406,1.4000004480000001,186,233,0,15,28,2
374,Shell Toomer Parkway,32.55467,-85.48144,1.50000048,84,66,0,11,23,1
375,Sherwood Forest,34.71064,-86.63783,0.525000168,18,38,0,4,17,2
376,Shoal 'Nuff,33.18128,-87.01703,0.619507774,85,97,0,4,40,2
377,Shovelton,34.8157,-86.60613,0.6456441460000001,54,3,0,9,16,2
378,Sidewinder,34.70689,-86.42026,0.328030408,16,39,0,3,6,1
379,Siege Line Trail,30.7467,-87.90722,0.42803044,41,40,0,5,31,2
380,Sinks,34.74404,-86.50828,1.50000048,340,388,0,16,26,3
381,Sister,33.26905,-87.53418,0.26041675000000003,31,36,0,1,56,2
382,Skirmish Line Trail,30.74313,-87.91234,0.205681884,3,42,0,1,56,2
383,Slingshot,33.33949,-86.73202,2.9000009280000003,396,445,0,30,19,2
384,Smokerise Trail,34.65042,-86.53097,1.4000004480000001,412,134,0,27,28,3
385,Smythe Trail,33.45028,-86.86969,0.461363784,44,154,0,4,10,2
386,Sokal Main Trail,33.26601,-87.53466,1.7000005440000001,126,168,0,18,59,2
387,Songo Trail,33.4429,-86.8781,0.181628846,36,24,0,2,38,1
388,South Loop,33.21428,-87.45676,1.1000003520000001,76,77,0,8,53,2
389,South Plateau Loop,34.743,-86.50828,3.300001056,177,177,0,18,53,2
390,South Trail,30.78151,-88.09736,3.100000992,21,18,0,2,38,3
391,Sportsman Lake Trail,34.19221,-86.85958,1.1000003520000001,18,20,0,11,19,1
392,Spring Gap Trail,33.4499,-86.87021,0.624432018,58,143,0,2,51,2
393,Squirrels Nest Trail,30.73717,-87.92423,0.45227287200000005,48,46,0,6,24,2
394,Stagecoach Plateau - East,31.21612,-85.45651,0.7081441660000001,114,120,0,6,46,1
395,Stagecoach Plateau - West,31.21182,-85.4568,0.49128803600000004,68,91,0,2,31,1
396,Stebbin's Trail,30.73154,-87.90789,0.293371306,3,40,0,1,28,1
397,Stinger,34.68734,-86.65049,0.617613834,13,21,0,4,42,1
398,Stone Cuts Trail,34.74541,-86.503,0.7761366120000001,208,142,0,11,43,3
399,Stonefly Trail,34.59376,-86.52063,0.405681948,24,71,0,5,13,2
400,Storm Loop Trail,33.31119,-87.68231,1.300000416,193,200,0,12,32,2
401,Storyteller,33.3366,-86.72033,0.5791668520000001,8,464,0,27,19,4
402,Straight UP! #1,34.80637,-87.69917,0.7723487320000001,124,4,0,7,30,2
403,Sublett Circle,34.70691,-86.42511,0.305113734,25,33,0,3,53,2
404,Sugar Tree Trail,34.64662,-86.5311,1.50000048,629,82,0,33,15,3
405,Sunset Hill,33.69999,-85.79874,0.853788152,81,68,0,7,35,1
406,Sweet Shrub Trail,32.55672,-85.4705,0.38030315200000003,18,3,0,2,39,2
407,Switchback Ridge,31.327725,-85.720838,0.22064401,41,72,0,4,39,2
408,T T T,30.69418,-88.20197,1.600000512,31,40,0,10,28,1
409,Talladega,33.62416,-85.88607,1.50000048,283,203,0,22,50,2
410,Tashka Trail,33.28651,-87.68478,7.900002528000001,1271,1183,1,27,22,2
411,Taylor Mountain,34.38866,-86.19228,1.600000512,145,404,0,11,42,3
412,TCI Connector,33.45385,-86.86454,0.6250002,68,142,0,4,7,1
413,Terrell,34.38508,-86.2062,1.50000048,279,208,0,14,7,3
414,Terry Trail,34.77285,-86.55032,1.1000003520000001,227,46,0,7,3,2
415,The Bottoms Long,30.69672,-88.20038,0.6064395880000001,23,27,0,4,2,2
416,The Chimneys,33.3497,-86.72964,0.7984851040000001,165,56,0,9,23,2
417,The Cockpit Trail,34.7098,-86.64281,1.1000003520000001,32,28,0,7,27,1
418,The Colonel,31.4789,-85.63656,0.8886366480000001,76,120,0,5,29,2
419,The Dam Trail,33.24489,-87.06273,1.7000005440000001,303,300,0,25,7,3
420,The Dummy Line Trail,34.74967,-86.53452,1.300000416,3,299,0,10,20,3
421,The Pip,33.62572,-85.88391,1.300000416,262,428,0,36,7,3
422,The Rock Gym,32.54946,-85.47872,0.139393984,46,46,0,3,46,3
423,The Zipper,32.63065,-86.25075,0.106439428,3,73,0,0,48,2
424,Thunder,33.32894,-86.73357,1.50000048,33,388,0,17,16,3
425,Tiger Woods,32.55449,-85.46672,1.1000003520000001,129,168,0,10,36,2
426,Tiger Woods Extension,32.55428,-85.46457,0.20189400400000002,6,38,0,2,17,3
427,To Yahou,33.69635,-85.80134,1.200000384,144,113,0,9,59,2
428,To Yahou 2,33.69579,-85.79692,1.8000005760000002,286,247,0,21,11,2
429,TOLAcoaster,32.62896,-86.24674,2.700000864,313,352,0,13,32,2
430,Tollgate Trail,34.74059,-86.55392,1.8000005760000002,676,24,0,7,57,3
431,Tollgate Trail,34.74967,-86.53452,0.157386414,16,8,0,1,8,2
432,Tom Bevill,34.37971,-86.21469,3.300001056,406,407,0,23,49,2
433,Tornado Loop Trail,33.30992,-87.682,2.00000064,422,423,0,21,8,2
434,Tortoise,33.64382,-85.85574,2.700000864,924,380,0,25,9,1
435,Tri-County Marker Trail,33.24582,-87.0676,0.603030496,87,123,0,4,38,2
436,Trillium,33.62923,-85.87403,0.7204547760000001,76,169,0,3,53,2
437,Troll,33.26836,-87.53181,0.639394144,41,48,0,4,54,2
438,Troll Holly Connector,33.26338,-87.52963,0.22992431600000002,18,17,0,3,15,2
439,Troy State University Dothan Trails,31.27992,-85.46924,4.4000014080000005,588,589,0,39,43,2
440,Trussville Sports Complex Loop,33.63713,-86.59742,4.00000128,602,601,0,37,28,2
441,Turtleback Ridge,33.18965,-87.00137,0.67329567,116,26,0,8,9,2
442,Two Mountain Trail,34.70339,-86.42105,1.50000048,176,192,0,5,13,2
443,Up or Down?,32.62792,-86.24565,1.300000416,228,229,0,17,34,2
444,Upper Creek,33.26059,-87.52894,0.19071975800000002,18,17,0,1,50,2
445,Upper Mama Bear,33.61429,-85.90493,0.686174462,100,115,0,6,3,1
446,Upper Papa Bear,33.61975,-85.90093,0.666098698,108,163,0,4,51,1
447,Upper Psycho,33.26426,-87.53236,0.40265164400000003,10,19,0,2,26,2
448,Upper Spring,33.488,-85.8109,1.200000384,150,129,0,21,5,1
449,Upper Tucker,34.71406,-86.43358,0.466098634,15,46,0,4,42,1
450,Varnedoe Trail,34.63607,-86.51188,1.7000005440000001,117,253,0,25,26,3
451,Vizzneyland,34.49474,-85.64297,0.9236745380000001,114,136,0,16,19,2
452,WAC,33.69999,-85.79874,1.1000003520000001,71,79,0,5,45,1
453,Wade Mountain,34.82041,-86.59794,2.00000064,492,261,0,38,38,3
454,Wagon Trail,34.72265,-86.54304,2.2000007040000003,196,372,0,22,1,3
455,Waterfall Loop Trail,34.7146,-86.45965,0.224242496,59,24,0,9,52,2
456,Watering Hole,32.62933,-86.26279,0.5672350300000001,59,23,0,7,29,1
457,Watts Trail,34.74073,-86.55401,0.42424256000000005,94,102,0,4,57,3
458,Weeden Loop East,34.67915,-86.6485,1.600000512,112,84,0,14,36,1
459,Weeden Loop West,34.67707,-86.65465,1.900000608,127,80,0,17,35,2
460,West Bluff Trail,34.649,-86.51675,2.100000672,61,113,0,13,30,3
461,West Plateau Trail,34.59408,-86.51789,0.325000104,32,44,0,3,10,1
462,West Ridge,33.32894,-86.73356,1.7000005440000001,49,153,0,27,39,3
463,Westgate Shared 1,31.23762,-85.44777,0.44109862600000005,9,9,0,3,21,1
464,Whitetail,33.18193,-87.02379,0.77367449,158,83,0,10,18,1
465,Wigleyville,33.69688,-85.7977,0.507007738,36,47,0,5,0,2
466,Wild Flower Trail,34.73796,-86.55305,0.447159234,74,12,0,10,23,3
467,Wild Turkey,33.18753,-87.01834,1.50000048,214,207,0,13,39,2
468,Wild Turkey Connect N,33.19104,-87.00971,0.130492466,29,34,0,1,32,2
469,Wild Turkey Connect S,33.19093,-87.01097,0.089393968,29,19,0,0,43,2
470,Wild West,33.63557,-86.87215,0.89299271,87,95,0,7,11,3
471,William Arthur Wells CCC Memorial Trail (Chestnut Trail),34.74369,-86.50277,0.119886402,25,13,0,1,44,2
472,Wilmore Loop,32.56404,-85.46098,1.600000512,419,419,0,12,47,2
473,Witches Brew,34.03844,-86.03964,0.590341098,172,16,0,7,1,1
474,Without A Paddle,33.19482,-86.9983,0.45549257000000004,23,98,0,3,39,2
475,Yellman's Hollow,31.3305,-85.71791,0.21931825200000002,50,28,0,2,51,2
476,YorkTown,33.69991,-85.79704,0.457954692,32,31,0,3,12,2
477,Young - Kennedy Trail,34.72265,-86.54304,1.4000004480000001,78,218,0,19,14,3
478,Zion Cemetery Ridge - East,31.21671,-85.44755,0.812689654,88,29,0,5,38,1
479,Zion Cemetery Ridge - West,31.21103,-85.4465,0.9352275720000001,43,94,0,6,10,1
